OrderId,IssueDate,CreationDateTime
LA0450617QWIX,2025-01-14T21:53:00,2025-01-14T21:53:04.594
LA0452285ADDJ,2025-01-14T21:52:00,2025-01-14T21:51:42.132
LA0453367EYAL,2025-01-14T21:52:00,2025-01-14T21:52:04.79
LA0455351IXEG,2025-01-14T21:52:00,2025-01-14T21:52:29.163
LA0450829FRQD,2025-01-14T21:51:00,2025-01-14T21:50:44.804
LA0452714ICAE,2025-01-14T21:51:00,2025-01-14T21:51:25.426
LA0458798OPZP,2025-01-14T21:51:00,2025-01-14T21:51:03.441
LA0455389KHJU,2025-01-14T21:50:00,2025-01-14T21:49:55.76
LA0457079WXGI,2025-01-14T21:50:00,2025-01-14T21:50:28.156
LA0455308NXWT,2025-01-14T21:48:00,2025-01-14T21:47:43.472
LA5447924LMXD,2025-01-14T21:48:00,2025-01-14T21:47:48.805
LA9570009WAMK,2025-01-14T21:47:00,2025-01-14T21:46:37.785
LA0453956XBME,2025-01-14T21:46:00,2025-01-14T21:46:00.965
LA0457152GKAB,2025-01-14T21:46:00,2025-01-14T21:45:41.622
LA0458044RTLD,2025-01-14T21:45:00,2025-01-14T21:45:08.451
LA5442399NTRM,2025-01-14T21:45:00,2025-01-14T21:44:35.23
LA0452167TLWD,2025-01-14T21:44:00,2025-01-14T21:43:50.833
LA0453938UYFX,2025-01-14T21:44:00,2025-01-14T21:44:27.819
LA5444291MQRE,2025-01-14T21:44:00,2025-01-14T21:43:24.375
LA9571041GJDN,2025-01-14T21:42:00,2025-01-14T21:42:08.453
LA9570292AKTB,2025-01-14T21:41:00,2025-01-14T21:41:14.058
LA0457538PLTS,2025-01-14T21:40:00,2025-01-14T21:40:17.44
LA0454064QILN,2025-01-14T21:39:00,2025-01-14T21:39:23.092
LA0458426RUAO,2025-01-14T21:38:00,2025-01-14T21:38:31.392
LA5443681KVPV,2025-01-14T21:38:00,2025-01-14T21:37:33.825
LA9570186YLCU,2025-01-14T21:37:00,2025-01-14T21:36:32.641
LA9571825OIMW,2025-01-14T21:36:00,2025-01-14T21:35:43.471
LA0457033QJKI,2025-01-14T21:35:00,2025-01-14T21:35:05.442
LA0455573AJLO,2025-01-14T21:34:00,2025-01-14T21:34:06.832
LA0455284HYZQ,2025-01-14T21:32:00,2025-01-14T21:32:21.622
LA5448460ERLP,2025-01-14T21:31:00,2025-01-14T21:31:01.442
LA9571653TOCA,2025-01-14T21:30:00,2025-01-14T21:29:45.847
LA9573435YHKT,2025-01-14T21:29:00,2025-01-14T21:28:54.871
LA0452593UUOZ,2025-01-14T21:28:00,2025-01-14T21:28:05.274
LA0456578YNOG,2025-01-14T21:27:00,2025-01-14T21:27:14.804
LA9571196BJDQ,2025-01-14T21:26:00,2025-01-14T21:26:15.145
LA0456578LNRK,2025-01-14T21:25:00,2025-01-14T21:24:55.201
LA9576085LZED,2025-01-14T21:25:00,2025-01-14T21:25:34.47
LA0453775KUAW,2025-01-14T21:24:00,2025-01-14T21:24:05.197
LA5440450MJDB,2025-01-14T21:22:00,2025-01-14T21:22:15.432
LA0351591YRVG,2025-01-14T21:21:00,2025-01-14T21:20:52.981
LA5446456AVEE,2025-01-14T21:21:00,2025-01-14T21:21:33.459
LA0354223OODF,2025-01-14T21:20:00,2025-01-14T21:20:14.262
LA0450390KZNV,2025-01-14T21:19:00,2025-01-14T21:18:57.885
LA0458746NCFU,2025-01-14T21:19:00,2025-01-14T21:19:33.697
LA0455225VPFI,2025-01-14T21:16:00,2025-01-14T21:16:01.16
LA0453431AONT,2025-01-14T21:14:00,2025-01-14T21:14:26.168
LA5440444TCUZ,2025-01-14T21:13:00,2025-01-14T21:13:32.201
LA5444979BLDD,2025-01-14T21:13:00,2025-01-14T21:12:44.821
LA9571708IEOC,2025-01-14T21:11:00,2025-01-14T21:11:00.272
LA9571810BLLI,2025-01-14T21:10:00,2025-01-14T21:10:16.453
LA0454203YZZT,2025-01-14T21:09:00,2025-01-14T21:08:27.808
LA0455007UMWU,2025-01-14T21:09:00,2025-01-14T21:09:26.199
LA5441994GSLN,2025-01-14T21:06:00,2025-01-14T21:05:43.776
LA5441862NQTU,2025-01-14T21:05:00,2025-01-14T21:04:48.426
LA9575336LLRU,2025-01-14T21:03:00,2025-01-14T21:03:03.709
LA9575601WQFY,2025-01-14T21:02:00,2025-01-14T21:02:15.777
LA0451284SYWM,2025-01-14T21:01:00,2025-01-14T21:01:17.279
LA0451951HDMD,2025-01-14T21:00:00,2025-01-14T21:00:26.013
LA9572948UHUJ,2025-01-14T20:51:00,2025-01-14T20:51:01.178
LA0456383SBTP,2025-01-14T20:50:00,2025-01-14T20:49:49.185
LA9575822UGFK,2025-01-14T20:50:00,2025-01-14T20:50:22.77
LA0457828XXYX,2025-01-14T20:49:00,2025-01-14T20:49:14.802
LA5442156NGBE,2025-01-14T20:44:00,2025-01-14T20:44:00.049
LA5448820QAUZ,2025-01-14T20:43:00,2025-01-14T20:43:15.488
LA5444411QCJM,2025-01-14T20:42:00,2025-01-14T20:42:17.323
LA5448563OZZH,2025-01-14T20:41:00,2025-01-14T20:40:57.939
LA9575549SXZJ,2025-01-14T20:40:00,2025-01-14T20:39:33.088
LA9571671EBSD,2025-01-14T20:39:00,2025-01-14T20:38:29.765
LA9573519HPJP,2025-01-14T20:38:00,2025-01-14T20:37:42.197
LA9573805WTKW,2025-01-14T20:37:00,2025-01-14T20:36:59.746
LA9574709VKDA,2025-01-14T20:36:00,2025-01-14T20:36:11.269
LA9576308GRQC,2025-01-14T20:35:00,2025-01-14T20:35:24.964
LA0456989OKJV,2025-01-14T20:34:00,2025-01-14T20:34:13.014
LA0455250LYSQ,2025-01-14T20:33:00,2025-01-14T20:32:59.284
LA0454768HOYI,2025-01-14T20:32:00,2025-01-14T20:32:14.81
LA0454492TKZX,2025-01-14T20:31:00,2025-01-14T20:31:29.56
LA0457690JZMU,2025-01-14T20:31:00,2025-01-14T20:30:41.49
LA0458358GLXX,2025-01-14T20:30:00,2025-01-14T20:29:50.8
LA5445112BEFA,2025-01-14T20:28:00,2025-01-14T20:27:30.925
LA5445004AJRC,2025-01-14T20:26:00,2025-01-14T20:26:04.796
LA5446025YKVW,2025-01-14T20:25:00,2025-01-14T20:25:04.857
LA5443686GHFF,2025-01-14T20:24:00,2025-01-14T20:23:41.816
LA5440273AUBR,2025-01-14T20:23:00,2025-01-14T20:22:16.135
LA9574631YBLL,2025-01-14T20:21:00,2025-01-14T20:20:38.982
LA9577267IWYI,2025-01-14T20:20:00,2025-01-14T20:19:33.401
LA9575810PJLF,2025-01-14T20:19:00,2025-01-14T20:18:27.753
LA9572324AJFU,2025-01-14T20:17:00,2025-01-14T20:17:19.413
LA0457170FUBM,2025-01-14T20:16:00,2025-01-14T20:15:49.688
LA0458346ANFS,2025-01-14T20:15:00,2025-01-14T20:14:34.22
LA0450048RLKO,2025-01-14T20:13:00,2025-01-14T20:13:18.244
LA0457078IXNK,2025-01-14T20:12:00,2025-01-14T20:11:59.288
LA5440647RQLG,2025-01-14T20:10:00,2025-01-14T20:09:37.764
LA9577009IKJM,2025-01-14T20:10:00,2025-01-14T20:07:15.292
LA5447919TIAB,2025-01-14T20:09:00,2025-01-14T20:08:26.688
LA0455731JNWJ,2025-01-14T20:07:00,2025-01-14T20:07:10.34
LA0455037AEEZ,2025-01-14T20:06:00,2025-01-14T20:06:10.035
LA5445303LKOS,2025-01-14T20:05:00,2025-01-14T20:04:35.673
LA5447540UCQZ,2025-01-14T20:05:00,2025-01-14T20:05:19.05
LA0456020XMAF,2025-01-14T20:03:00,2025-01-14T20:03:15.008
LA0456038GDCF,2025-01-14T20:03:00,2025-01-14T20:02:41.946
LA9577625VZBL,2025-01-14T19:59:00,2025-01-14T19:57:04.288
LA0458652YSFR,2025-01-14T19:47:00,2025-01-14T19:45:19.012
LA0452174NJNT,2025-01-14T19:27:00,2025-01-14T19:27:12.697
LA9574229NNDD,2025-01-14T19:19:00,2025-01-14T19:16:39.944
LA0452916SIAQ,2025-01-14T18:41:00,2025-01-14T18:35:32.966
LA9577031FXDW,2025-01-14T18:31:00,2025-01-14T18:31:21.194
LA0456006JJLR,2025-01-14T18:29:00,2025-01-14T18:27:20.905
LA9571488UFXJ,2025-01-14T16:43:00,2025-01-14T16:39:41.072
LA0452745YWTS,2025-01-14T15:43:00,2025-01-14T15:40:45.08
LA9572442GOPC,2025-01-14T14:17:00,2025-01-14T14:16:57.304
LA9573490MGWH,2025-01-14T14:16:00,2025-01-14T14:15:47.125
LA9577122JFXY,2025-01-14T14:16:00,2025-01-14T14:16:21.039
LA9575152OTYT,2025-01-14T14:15:00,2025-01-14T14:15:13.282
LA9572280LSWI,2025-01-14T14:14:00,2025-01-14T14:13:51.221
LA9576340VKIF,2025-01-14T14:14:00,2025-01-14T14:14:31.51
LA9572849TLMJ,2025-01-14T14:13:00,2025-01-14T14:13:08.06
LA9573596QFAG,2025-01-14T14:12:00,2025-01-14T14:11:52.889
LA9574137IGUM,2025-01-14T14:12:00,2025-01-14T14:12:27.684
LA9574688PWRN,2025-01-14T14:11:00,2025-01-14T14:09:04.117
LA9577424SMLB,2025-01-14T14:11:00,2025-01-14T14:11:13.13
LA9573514UZFE,2025-01-14T14:05:00,2025-01-14T14:05:16.147
LA9572416QUZP,2025-01-14T14:04:00,2025-01-14T14:04:39.947
LA9576433VAVP,2025-01-14T14:04:00,2025-01-14T14:04:00.343
LA9575093CEAB,2025-01-14T14:03:00,2025-01-14T14:03:21.477
LA9577259GIFX,2025-01-14T14:03:00,2025-01-14T14:02:44.999
LA9577499WOSH,2025-01-14T14:01:00,2025-01-14T14:01:33.389
LA9574639NADH,2025-01-14T13:58:00,2025-01-14T13:55:57.955
LA0450030INVM,2025-01-14T13:25:00,2025-01-14T13:25:09.517
LA0451913IIOA,2025-01-14T13:25:00,2025-01-14T13:09:10.046
LA0454891ZGVC,2025-01-14T13:25:00,2025-01-14T13:44:35.803
LA0456933GXXP,2025-01-14T13:24:00,2025-01-14T13:24:22.249
LA0459771LCJS,2025-01-14T13:24:00,2025-01-14T13:23:31.193
LA0453759LEXL,2025-01-14T13:23:00,2025-01-14T13:22:45.217
LA0450655GYQR,2025-01-14T13:22:00,2025-01-14T13:21:35.233
LA0459856XCYX,2025-01-14T13:20:00,2025-01-14T13:19:57.998
LA0459943LLSA,2025-01-14T13:19:00,2025-01-14T13:19:09.886
LA0456763DGFR,2025-01-14T13:18:00,2025-01-14T13:18:22.746
LA0459997RSDD,2025-01-14T13:18:00,2025-01-14T13:17:38.964
LA0459080YAIP,2025-01-14T13:16:00,2025-01-14T13:16:03.252
LA0450437KLHX,2025-01-14T13:15:00,2025-01-14T13:14:36.497
LA0456431PVXI,2025-01-14T13:15:00,2025-01-14T13:15:29.896
LA0457871LIHH,2025-01-14T13:14:00,2025-01-14T13:13:35.801
LA0454380TMSB,2025-01-14T13:13:00,2025-01-14T13:12:51.699
LA0452727ZGCY,2025-01-14T13:12:00,2025-01-14T13:12:09.197
LA0458321WFYI,2025-01-14T13:11:00,2025-01-14T13:11:26.032
LA0453669UGWH,2025-01-14T13:10:00,2025-01-14T13:10:27.458
LA0456166QBJM,2025-01-14T13:10:00,2025-01-14T13:09:37.836
LA0456393FRPG,2025-01-14T13:09:00,2025-01-14T13:08:50.291
LA0451607SGEN,2025-01-14T13:08:00,2025-01-14T13:07:44.992
LA0454689ATBS,2025-01-14T13:06:00,2025-01-14T13:05:49.225
LA0453209QKGO,2025-01-14T13:05:00,2025-01-14T13:04:56.749
LA0452310GGKP,2025-01-14T13:04:00,2025-01-14T13:04:14.339
LA0451916RLAG,2025-01-14T13:03:00,2025-01-14T13:02:30.453
LA0459900XWJT,2025-01-14T13:03:00,2025-01-14T13:03:31.345
LA0457007FXYZ,2025-01-14T13:02:00,2025-01-14T13:01:33.723
LA0458086WSGS,2025-01-14T13:01:00,2025-01-14T13:00:33.086
LA0451196CSLC,2025-01-14T13:00:00,2025-01-14T12:59:49.93
LA0451232IBZC,2025-01-14T12:59:00,2025-01-14T12:59:09.989
LA0450794ZGBZ,2025-01-14T12:58:00,2025-01-14T12:57:41.875
LA0456495PNCK,2025-01-14T12:58:00,2025-01-14T12:58:33.753
LA0451162TKTP,2025-01-14T12:57:00,2025-01-14T12:56:51.574
LA0451846AUFZ,2025-01-14T12:56:00,2025-01-14T12:56:12.889
LA9573945TREF,2025-01-14T12:56:00,2025-01-14T12:55:35.94
LA0454597QKKO,2025-01-14T12:55:00,2025-01-14T12:55:07.44
LA0457129FBDS,2025-01-14T12:54:00,2025-01-14T12:54:25.472
LA5442593FWPY,2025-01-14T12:54:00,2025-01-14T12:53:29.686
LA0450095OABW,2025-01-14T12:53:00,2025-01-14T12:53:09.289
LA0454847OFBL,2025-01-14T12:52:00,2025-01-14T12:52:20.129
LA0459092ZNPD,2025-01-14T12:52:00,2025-01-14T12:51:39.21
LA5440894GJIE,2025-01-14T12:52:00,2025-01-14T12:52:10.803
LA5447799LMPK,2025-01-14T12:52:00,2025-01-14T20:52:24.884
LA0453162CRFU,2025-01-14T12:51:00,2025-01-14T12:51:07.446
LA9575338FZER,2025-01-14T12:51:00,2025-01-14T12:50:58.718
LA9571294UDUQ,2025-01-14T12:50:00,2025-01-14T12:50:11.677
LA0451030CMXP,2025-01-14T12:49:00,2025-01-14T12:48:21.36
LA0454834WPGW,2025-01-14T12:49:00,2025-01-14T12:49:19.327
LA0454756WLQT,2025-01-14T12:48:00,2025-01-14T12:48:19.515
LA5447386DPCP,2025-01-14T12:48:00,2025-01-14T12:47:37.995
LA0457064BNJH,2025-01-14T12:47:00,2025-01-14T12:46:25.493
LA0458043KZKY,2025-01-14T12:46:00,2025-01-14T12:45:37.402
LA9574264NHXU,2025-01-14T12:45:00,2025-01-14T12:45:24.825
LA9576791DYMY,2025-01-14T12:45:00,2025-01-14T12:44:36.085
LA0452967WOQO,2025-01-14T12:44:00,2025-01-14T12:43:55.016
LA0459482AMHX,2025-01-14T12:44:00,2025-01-14T12:43:41.451
LA0455687OLDT,2025-01-14T12:43:00,2025-01-14T12:43:00.816
LA0459718OGGI,2025-01-14T12:43:00,2025-01-14T12:43:13.373
LA0459648FPIU,2025-01-14T12:41:00,2025-01-14T12:41:19.116
LA5444619WKZD,2025-01-14T12:40:00,2025-01-14T12:40:19.505
LA5444182XHOS,2025-01-14T12:39:00,2025-01-14T12:39:13.653
LA9570946MJES,2025-01-14T12:38:00,2025-01-14T12:38:06.813
LA0458408CFUE,2025-01-14T12:37:00,2025-01-14T12:36:35.404
LA9576683DBFM,2025-01-14T12:37:00,2025-01-14T12:37:25.301
LA0452178MMFH,2025-01-14T12:36:00,2025-01-14T12:35:44.386
LA5444606OPMX,2025-01-14T12:35:00,2025-01-14T12:34:59.451
LA5440147HEFO,2025-01-14T12:34:00,2025-01-14T12:34:14.073
LA9573555YVAD,2025-01-14T12:33:00,2025-01-14T12:32:38.519
LA9573938EDBF,2025-01-14T12:33:00,2025-01-14T12:33:21.523
LA0457280PSZV,2025-01-14T12:32:00,2025-01-14T12:31:53.343
LA0459156HISN,2025-01-14T12:31:00,2025-01-14T12:31:13.052
LA5442728VWVD,2025-01-14T12:29:00,2025-01-14T12:29:25.217
LA5449019MCQV,2025-01-14T12:29:00,2025-01-14T12:28:46.408
LA0359052OUZG,2025-01-14T12:28:00,2025-01-14T12:28:11.778
LA0350367MSXM,2025-01-14T12:27:00,2025-01-14T12:27:39.147
LA0453115SIPG,2025-01-14T12:27:00,2025-01-14T12:26:57.71
LA0451449TLGP,2025-01-14T12:26:00,2025-01-14T12:26:15.047
LA0452279WAZO,2025-01-14T12:23:00,2025-01-14T12:23:15.982
LA0455989HBAG,2025-01-14T12:22:00,2025-01-14T12:21:59.859
LA5446964GBKF,2025-01-14T12:21:00,2025-01-14T12:21:13.037
LA5447734JGWG,2025-01-14T12:20:00,2025-01-14T12:20:33.305
LA9576096KKAU,2025-01-14T12:19:00,2025-01-14T12:18:46.147
LA9576962CXBE,2025-01-14T12:18:00,2025-01-14T12:17:58.713
LA0450106WQDT,2025-01-14T12:17:00,2025-01-14T12:17:06.149
LA0455775BXTD,2025-01-14T12:16:00,2025-01-14T12:16:25.875
LA5449949QWBX,2025-01-14T12:15:00,2025-01-14T12:15:09.806
LA0450662GYLX,2025-01-14T12:13:00,2025-01-14T12:13:06.486
LA0452680GECV,2025-01-14T12:13:00,2025-01-14T12:12:50.169
LA0457326CZGI,2025-01-14T12:12:00,2025-01-14T12:12:11.618
LA0458230RKZT,2025-01-14T12:12:00,2025-01-14T12:12:17.419
LA0454577HYMC,2025-01-14T12:11:00,2025-01-14T12:11:09.258
LA0457966TGNK,2025-01-14T12:11:00,2025-01-14T12:11:09.315
LA0459764HXJU,2025-01-14T12:11:00,2025-01-14T12:11:16.989
LA5445181GQDG,2025-01-14T12:10:00,2025-01-14T12:10:15.574
LA5445263WKMV,2025-01-14T12:09:00,2025-01-14T12:09:24.743
LA9575701QDJC,2025-01-14T12:08:00,2025-01-14T12:07:46.49
LA9574729BPAO,2025-01-14T12:07:00,2025-01-14T12:07:01.318
LA0453846UHKX,2025-01-14T12:06:00,2025-01-14T12:06:05.715
LA0450632WGJN,2025-01-14T12:05:00,2025-01-14T12:05:07.628
LA5442157EEBB,2025-01-14T11:56:00,2025-01-14T11:56:15.369
LA5442073QEXO,2025-01-14T11:55:00,2025-01-14T11:55:36.091
LA9572795ZJTK,2025-01-14T11:54:00,2025-01-14T11:54:15.191
LA9577080JHNH,2025-01-14T11:54:00,2025-01-14T11:53:39.84
LA0459550FKSI,2025-01-14T11:53:00,2025-01-14T11:52:56.45
LA0457205HZFV,2025-01-14T11:52:00,2025-01-14T11:52:13.279
LA5445451YKCN,2025-01-14T11:47:00,2025-01-14T11:47:04.544
LA5446659NBOH,2025-01-14T11:46:00,2025-01-14T11:45:57.922
LA5445820OVYU,2025-01-14T11:45:00,2025-01-14T11:45:13.631
LA5447133BGXI,2025-01-14T11:44:00,2025-01-14T11:43:29.413
LA5449982ZIQC,2025-01-14T11:44:00,2025-01-14T11:44:31.519
LA5444567GGTR,2025-01-14T11:43:00,2025-01-14T11:42:19.738
LA9575320UMRQ,2025-01-14T11:41:00,2025-01-14T11:40:27.959
LA9577893XBYI,2025-01-14T11:40:00,2025-01-14T11:39:36.834
LA9571664EDVH,2025-01-14T11:39:00,2025-01-14T11:38:50.124
LA9578091HFFJ,2025-01-14T11:38:00,2025-01-14T11:37:57.742
LA9578640RQZY,2025-01-14T11:37:00,2025-01-14T11:37:10.511
LA0452604FJYW,2025-01-14T11:36:00,2025-01-14T11:35:53.416
LA0453305XOWD,2025-01-14T11:35:00,2025-01-14T11:34:45.449
LA0457983SLDD,2025-01-14T11:34:00,2025-01-14T11:34:00.708
LA0455427ILVW,2025-01-14T11:33:00,2025-01-14T11:33:02.564
LA0452429NZPS,2025-01-14T11:32:00,2025-01-14T11:32:01.466
LA5444532NXNE,2025-01-14T11:29:00,2025-01-14T11:28:12.466
LA5442451USCF,2025-01-14T11:26:00,2025-01-14T11:25:54.177
LA9578920AJQO,2025-01-14T11:24:00,2025-01-14T11:23:42.742
LA9575556LELU,2025-01-14T11:22:00,2025-01-14T11:21:50.787
LA0455811BUTV,2025-01-14T11:20:00,2025-01-14T11:20:18.852
LA0451815VSUH,2025-01-14T11:19:00,2025-01-14T11:18:55.245
LA0454256CVME,2025-01-14T11:18:00,2025-01-14T11:17:24.11
LA0455955PAQW,2025-01-14T11:16:00,2025-01-14T11:16:01.86
LA5441966DIXG,2025-01-14T11:13:00,2025-01-14T11:13:23.686
LA5447982WPKA,2025-01-14T11:12:00,2025-01-14T11:12:11.263
LA0450292WWAH,2025-01-14T11:11:00,2025-01-14T11:10:45.013
LA0459466ZALJ,2025-01-14T11:10:00,2025-01-14T11:09:33.682
LA5442516VACF,2025-01-14T11:09:00,2025-01-14T11:08:33.692
LA5449510AGRB,2025-01-14T11:08:00,2025-01-14T11:07:43.376
LA0452807SGDP,2025-01-14T11:05:00,2025-01-14T11:04:59.178
LA0452357CPKB,2025-01-14T11:04:00,2025-01-14T11:04:09.606
LA0452999CWIG,2025-01-14T11:04:00,2025-01-14T11:03:05.448
